id,name,short_name,fifa_code,group_letter,created_at,updated_at
1c52f796-7eb4-4e95-9781-2e59fe37e404,México,MEX,,A,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
055555d7-ad3a-4573-9777-507e74579a45,Corea del Sur,KOR,,A,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
11368028-3ee3-4f20-bb85-46483d887e6a,Sudáfrica,RSA,,A,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
d0add2f9-3efd-4f29-b888-daa9068e0a95,Chequia,CZE,,A,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
07b228e4-bd46-40ac-a3bc-1394e4697c97,Canadá,CAN,,B,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
0bf31a13-e94d-4499-90d3-d9b1ae842a4c,Suiza,SUI,,B,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
30aeef14-f155-40fe-986b-96facefedd3e,Catar,QAT,,B,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
da6a4a7f-2b06-4ae3-81a6-de3697365fd1,Bosnia y Herzegovina,BIH,,B,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
c0288ff6-0cdd-4fcd-9db6-faaf7ba59377,Brasil,BRA,,C,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
0e1d44d6-618e-4c42-bffe-76db1e758ab5,Marruecos,MAR,,C,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
344a4e94-125c-4d03-bc85-198935f2d5d0,Escocia,SCO,,C,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
b0f6a854-49cb-493d-9a85-19784f7f6462,Haití,HAI,,C,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
4169f8cf-6592-433d-976a-32c92e7f8cdd,Estados Unidos,USA,,D,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
55b73e54-3a7f-49b6-89f3-ba8d5064f39d,Australia,AUS,,D,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
50cd6e80-be9e-4792-89d9-79c7366b9650,Paraguay,PAR,,D,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
8be1f8ac-1c1f-402c-8a24-c8a1917769d3,Turquía,TUR,,D,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
94fa0dea-9313-48ba-9b5e-391d01762d96,Alemania,GER,,E,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
c450d2fe-e58b-46f2-b97a-b5f260991ff8,Ecuador,ECU,,E,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
80c8034b-75a8-4e6c-9c7e-222a943c987d,Costa de Marfil,CIV,,E,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
a7f30ba4-27af-4d9b-95ac-cb558ceb05d5,Curazao,CUW,,E,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
2a65f7a8-85ad-4da7-bda6-d76fd0a067f8,Países Bajos,NED,,F,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
a8f21632-e891-4e4d-a368-09686acb27ee,Japón,JPN,,F,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
f1b074b4-8e7c-4159-b04f-4793258449f8,Túnez,TUN,,F,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
758420ef-b09b-4c3b-9e3e-82c3201522ba,Suecia,SWE,,F,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
98ad89f5-6987-4cd6-9c9b-4ce27cbc2bd1,Bélgica,BEL,,G,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
3849bbd9-3dc3-46cc-b3c1-c326ed93caf7,Irán,IRN,,G,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
da3112a0-42dd-446d-92f9-acbd2da49ed9,Egipto,EGY,,G,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
b38c3398-8572-4e36-b675-39ad7a801a99,Nueva Zelanda,NZL,,G,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
471f97f9-79ce-4c11-9e98-acb975280a41,España,ESP,,H,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
bbee1cb2-5661-4618-a62e-24d248a2fe58,Uruguay,URU,,H,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
752fc74b-7f3c-4015-abd0-95b3ade96819,Arabia Saudí,KSA,,H,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
cfee6e2d-a996-4c2c-89af-0746554dca03,Cabo Verde,CPV,,H,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
598e177a-7c64-4f31-8594-e2dbe69cd95d,Francia,FRA,,I,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
ef5b0860-985c-404f-92f7-0d45fde9a7cc,Senegal,SEN,,I,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
b5d8a921-683d-4b80-bbf4-9a86299bdeff,Noruega,NOR,,I,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
c6043473-8f9d-40b8-8f31-45b88d984173,Irak,IRQ,,I,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
653c63fa-9564-4232-a8b3-79c37d3414f6,Argentina,ARG,,J,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
99e40399-c9a2-44b6-8c9c-5cd19e9ad194,Austria,AUT,,J,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
c3b5abc2-3eaa-4c7e-83ae-948f1bf51d19,Argelia,ALG,,J,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
3f4d6f5e-ca4e-4049-b6be-cd4ecce47147,Jordania,JOR,,J,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
d25e3dfe-f05b-47d0-b1a4-992f48628f0c,Portugal,POR,,K,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
478f862c-eb74-4832-8def-aa7f7928fb82,Colombia,COL,,K,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
019c7e96-1595-4c35-8893-994ffe7d0021,Uzbekistán,UZB,,K,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
3e02c4d1-5885-4106-af90-9188c8d02902,RD Congo,COD,,K,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
52e74041-5788-4e6f-b2b4-ecfb394a30d2,Inglaterra,ENG,,L,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
d2b69d81-5e5e-400a-9afc-2597136e4001,Croacia,CRO,,L,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
8a93e4d1-31c9-46ad-89e9-7a2456593b84,Panamá,PAN,,L,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
631db69e-2e01-43d3-b4fc-144d80d96844,Ghana,GHA,,L,2026-05-29 17:04:51.87244+02,2026-05-29 17:05:21.441445+02
